time,altitude,velocity,accel_x,accel_y,accel_z,temperature,voltage
0,800078,7777.67,0.00515187,0.960812,-0.0301562,0.031655,9.99979
1,800156,7777.69,-0.0183112,1.01767,0.012638,0.0330819,9.99933
2,800233,7777.67,0.00929369,1.01535,0.00342677,0.0365884,9.99937
3,800311,7777.71,0.022384,0.984677,-0.00874244,0.0550753,9.99911
4,800389,7777.73,0.0145249,1.0195,-0.0296212,0.0570427,9.99904
5,800467,7777.73,0.0292011,0.993477,0.010765,0.0412806,9.99905
6,800544,7777.77,0.0428147,0.982962,0.0127861,0.0508446,9.99907
7,800622,7777.83,0.0614326,0.952776,0.0351079,0.0401954,9.99914
8,800700,7777.85,0.0995909,0.958358,-0.0178965,0.08193,9.99925
9,800778,7777.87,0.0760547,1.02157,-0.0145413,0.108928,9.9995
10,800856,7777.87,0.12676,0.982694,-0.0148607,0.11918,9.99946
11,800933,7777.86,0.110248,0.98879,0.0367831,0.127905,9.99943
12,801011,7777.89,0.104644,0.994608,0.0336342,0.143043,9.99933
13,801089,7777.89,0.0982275,0.965657,0.00149092,0.11558,9.99934
14,801167,7777.88,0.120137,0.974931,-0.00530291,0.0964785,9.99934
15,801244,7777.85,0.139766,1.00916,-0.0197174,0.128638,9.99957
16,801322,7777.88,0.120949,0.967329,-0.00816104,0.119779,9.99988
17,801400,7777.87,0.141469,0.978807,-0.00358511,0.127003,9.99969
18,801478,7777.86,0.159894,0.970813,0.0143855,0.123633,9.99981
19,801556,7777.86,0.190461,0.982587,-0.0234907,0.154926,9.99961
20,801633,7777.85,0.189971,0.959597,0.00255134,0.140275,9.99975
21,801711,7777.86,0.190324,1.01235,0.00329468,0.161704,9.99998
22,801789,7777.84,0.206793,1.00453,-0.016851,0.194341,9.99988
23,801867,7777.84,0.251236,0.965368,0.00194836,0.185961,9.99978
24,801944,7777.84,0.23077,0.930161,0.000151683,0.196996,9.99977
25,802022,7777.84,0.220672,0.963777,0.00787163,0.217139,9.99959
26,802100,7777.82,0.254607,0.972362,0.0115398,0.196749,9.99963
27,802178,7777.84,0.2706,0.952514,0.00221327,0.185396,9.99936
28,802255,7777.8,0.270223,0.957454,-0.0084978,0.191939,9.99945
29,802333,7777.76,0.307551,0.961764,0.00254338,0.172305,9.99966
30,802411,7777.75,0.27089,0.959894,0.0351279,0.15055,9.99968
31,802489,7777.75,0.268068,0.946771,0.00635694,0.150814,9.99975
32,802567,7777.75,0.294508,0.964995,-0.0211424,0.175972,9.99988
33,802644,7777.76,0.322323,0.94308,0.00278252,0.176987,10.0001
34,802722,7777.81,0.291989,0.937846,5.95799e-05,0.170862,9.99983
35,802800,7777.8,0.320813,0.953434,-0.00650919,0.174007,9.99989
36,802878,7777.82,0.353011,0.911441,-0.019702,0.186331,9.99969
37,802955,7777.8,0.371709,0.902483,0.0209126,0.182567,9.99945
38,803033,7777.83,0.349679,0.914202,0.0221056,0.196481,9.99978
39,803111,7777.88,0.368353,0.923165,0.00581069,0.201761,9.99977
40,803189,7777.9,0.391169,0.941047,0.0159031,0.198074,10
41,803266,7777.93,0.42659,0.94179,-0.000897839,0.17949,10
42,803344,7777.93,0.420736,0.88881,-0.0018661,0.143764,10
43,803422,7777.92,0.415799,0.938711,0.00030994,0.165328,9.99971
44,803500,7777.92,0.404623,0.908475,-0.0141157,0.147591,9.99988
45,803578,7777.96,0.421792,0.883855,-0.0448721,0.148736,9.99946
46,803655,7777.96,0.45708,0.925915,0.0162445,0.165236,9.99934
47,803733,7777.93,0.445424,0.892577,0.00569959,0.185354,9.99957
48,803811,7777.93,0.455511,0.875741,0.00691849,0.203636,9.99988
49,803889,7777.97,0.456547,0.892311,0.0171965,0.205435,9.99992
50,803967,7777.97,0.476087,0.92266,0.00827591,0.188236,10.0001
51,804044,7777.94,0.488365,0.863096,0.0169951,0.200931,10.0004
52,804122,7777.93,0.462042,0.870095,-0.00011092,0.192168,10.0003
